epoch,loss,softmax1_accuracy,softmax1_loss,softmax2_accuracy,softmax2_loss,softmax3_accuracy,softmax3_loss
0,4.224172072940402,0.5361111,1.1861659,0.31944445,1.8223093,0.45694444,1.20576
1,3.373623334036933,0.65555555,1.0861635,0.39722222,1.5526853,0.74027777,0.7376309
2,2.849647627936469,0.6638889,0.96337104,0.5638889,1.2078446,0.7569444,0.674724
3,2.5923294809129502,0.68194443,0.8658516,0.5972222,1.1387193,0.7861111,0.579328
4,2.2599113252427845,0.7222222,0.747217,0.63472223,1.0075312,0.81666666,0.5053986
5,2.0281601005130345,0.75416666,0.63224924,0.65694445,0.9390096,0.8208333,0.4521943
6,1.730984756681654,0.7763889,0.5516436,0.69027776,0.80510855,0.8527778,0.37481868
7,1.553110588921441,0.8111111,0.4814146,0.7416667,0.72589535,0.8736111,0.34484252
8,1.6872758282555473,0.7986111,0.55610496,0.74444443,0.73204607,0.84583336,0.38883653
9,1.372128995259603,0.8388889,0.41498923,0.76944447,0.6303305,0.8763889,0.32949293
10,1.3452465666664972,0.8277778,0.45445812,0.7625,0.6283788,0.8972222,0.26014325
11,1.1335595448811848,0.8833333,0.35331747,0.80694443,0.55273145,0.9111111,0.23110798
12,0.9766629113091363,0.88055557,0.32352006,0.8263889,0.47225732,0.92638886,0.1836552
13,0.9222580525610182,0.87777776,0.29960495,0.84305555,0.46560246,0.94166666,0.15442291
14,0.897623958852556,0.87777776,0.31304958,0.83194447,0.4149903,0.9375,0.16486394
15,0.8544598049587674,0.8888889,0.29250807,0.8402778,0.4285129,0.94166666,0.14333001
16,0.7304681738217672,0.9111111,0.2337852,0.86944443,0.3653372,0.95555556,0.13074976
17,0.6911961714426677,0.90416664,0.23982966,0.8680556,0.3545816,0.95694447,0.100892246
18,0.6448914289474488,0.90833336,0.21823077,0.86944443,0.32212216,0.9638889,0.10017524
19,0.6575173199176788,0.9097222,0.22587025,0.87916666,0.3177042,0.95555556,0.11023059
20,0.6333462476730347,0.92083335,0.21107481,0.8833333,0.31944302,0.9583333,0.105676234
21,0.5560647937986586,0.93194443,0.18339704,0.89166665,0.29238683,0.9777778,0.075939775
22,0.5404841535621219,0.93194443,0.17328751,0.8888889,0.2924301,0.975,0.07386045
23,0.5174745162328084,0.92638886,0.1778833,0.88611114,0.27333635,0.9763889,0.073616095
